,Unnamed: 0.1,Unnamed: 0,title,artist,rank,date,lyrics_x,lyrics_y,final_lyrics,lyrics-scraped
0,0,69,Believe Me,Royal Teens,42,1960-01-04,,,,"Each night as I go wandering
Down the street of tears
I think about the love we shared
Throughout our teenage years

Believe me, ooooooh, wah oooooooooh
Wah oooooooooh, believe me

Just because you said goodbye
Do you think that I will die
Just because you broke my heart
Now you thinking you're so smart

All the kids in town will know
They will know you hurt me so
Did you have to tell them all
That I still love you

I love you so
Can't let you go
(Believe me, believe me)
If you return
Love's flame will burn
(Believe me, believe me)

Just because you said goodbye
Do you think that I will die
Just because you broke my heart
Now you thinking you're so smart
All the kids in town will know
They will know you hurt me so
Did you have to tell them all
That I still love you-ooooooooooou
Oooooooooh wah ooooooooooh

Oooooooooh wah ooooooooooh
Oooooooooh wah ooooooooooh
Oooooooooh wah ooooooooooh"
1,1,66,The Happy Reindeer,"Dancer, Prancer And Nervous",45,1960-01-04,,,,
2,2,65,Bonnie Came Back,Duane Eddy His Twangy Guitar And The Rebels,46,1960-01-04,,,,
3,3,64,(New In) The Ways Of Love,Tommy Edwards,47,1960-01-04,,,,
4,4,55,One Mint Julep,Chet Atkins,97,1960-01-04,,,,"[Instrumental]

Mint Julep
Mint Julep
Mint Julep
Mint Julep
Mint Julep
Mint Julep"
5,5,53,Little Coco Palm,Jerry Wallace,95,1960-01-04,,,,
6,6,52,Do-Re-Mi,Mitch Miller,94,1960-01-04,,,,"[Intro]
Do (Do) re (Re) mi (Mi)
Fa (Fa) so (So) la (La) ti (Ti) do (Do)

Do, re, mi, fa, so, la, ti, do!

[Chorus]
(Do!) doe, a deer, a female deer
(Re!) ray, a drop of golden sun
(Mi!) me, a name I call myself
(Fa!) far, a long, long way to run
(So!) sew, a needle-pulling thread
(La!) la, a note to follow so
(Ti!) tea, a drink with jam and bread
That will bring us back to do oh oh oh

[Chorus]
Do! (A deer, a female deer)
Re! (A drop of golden sun)
Mi! (A name I call myself)
Fa! (A long, long way to run)
So! (A needle-pulling thread)
La! (A note to follow so)
Ti! (A drink with jam and bread)
That will bring us back to do
[Chorus]
A deer, a female deer
Ray, a drop of golden sun
Me, a name I call myself
Far, a long, long way to run
Sew, a needle-pulling thread
La, a note to follow so
Tea, a drink with jam and bread
That will bring us back to do

[Refrain]
Do, re, mi, fa, so, la, ti, do!
Do, ti, la, so, fa, mi, re, do!
Do, re, mi, fa, so, la, ti, do!

[Outro]
So, do!"
7,7,73,In The Still Of The Nite,The Five Satins,93,1960-01-04,,,,
8,8,75,Marina,Rocco Granata and the International Quintet,36,1960-01-04,,,,
9,9,99,Way Down Yonder In New Orleans,Freddie Cannon,5,1960-01-04,,,,"[Verse 1]
Well, way down yonder in New Orleans
In the land of the dreamy scenes
Ah, there's a Garden of Eden
Ah, you know what I mean

[Verse 2]
Yeah, Creole babies with flashin' eyes
Softly whisper with tender sighs

[Bridge]
And then you stop
Oh, won't you give your lady fair a little smile?
And then you stop
You bet your life you'll linger there a little while

[Verse 3]
Yeah, there is Heaven right here on earth
Ah, with those beautiful queens
Yeah, way down yonder in New Orleans, woah

[Instrumental Break]

[Verse 1]
Way down yonder in New Orleans, woah
In the land of the dreamy scenes
Ah, there's a Garden of Eden
Ah, you know what I mean
[Verse 2]
Well, Creole babies with flashin' eyes
Softly whisper with tender sighs

[Bridge]
And then you stop
Oh, won't you give your lady fair a little smile?
And then you stop
You bet your life you'll linger there a little while

[Verse 3]
Yeah, there is Heaven right here on earth
Ah, with those beautiful queens
Well, way down yonder in New Orleans, yeah, woah"
