Macarena (Bayside Boys Mix),Los Del Rio,"¡Ah-ay!
¡Ah-ay!
¡Ah-ay!
When I dance, they call me Macarena
And the boys, they say que estoy buena
They all want me, they can't have me
So they all come and dance beside me
Move with me, chant with me
And if you're good, I'll take you home with me
Move with me, chant with me
And if you're good, I'll take you home with me
Dale a tu cuerpo alegría, Macarena
Que tu cuerpo es pa darle alegría y cosas buena'
Dale a tu cuerpo alegría, Macarena
¡Eh, Macarena, ah-ay!
Dale a tu cuerpo alegría, Macarena
Que tu cuerpo es pa darle alegría y cosas buena'
Dale a tu cuerpo alegría, Macarena
¡Eh, Macarena, ah-ay!
No, don't you worry 'bout my boyfriend
The boy whose name is Vitorino, ja
I don't want him, can't stand him
He was no good, so I - hahahahahahahaha
Now, come on, what was I supposed to do?
He was out of town and his two friends were so fine
Dale a tu cuerpo alegría, Macarena
Que tu cuerpo es pa darle alegría y cosas buena'
Dale a tu cuerpo alegría, Macarena
¡Eh, Macarena, ah-ay!
Dale a tu cuerpo alegría, Macarena
Que tu cuerpo es pa darle alegría y cosas buena'
Dale a tu cuerpo alegría, Macarena
¡Eh, Macarena, ah-ay!
Oh-oh (Macarena)
Oh-ah (Macarena, Macarena)
¡Ah-ay!, ¡ah-ay!
¡Ah-ay! Hahahahahahahaha
¡Ah-ay!
Mac-Mac-Mac-Mac-Mac-Macarena
Mac-Mac-Mac-Mac-Mac-Macarena
Mac-Mac-Mac-Mac-Mac-Macarena
¡Ah-ay!
Mac-Mac-Mac-Mac-Mac-Macarena
Mac-Mac-Mac-Mac-Mac-Macarena
Mac-Mac-Mac-Mac-Mac-Macarena
(Macarena, Macarena) Mac-Mac-Mac-Mac-Mac-Macarena
Dale a tu cuerpo alegría, Macarena
Que tu cuerpo es pa darle alegría y cosas buena'
Dale a tu cuerpo alegría, Macarena
¡Eh, Macarena, ah-ay!
Dale a tu cuerpo alegría, Macarena
Que tu cuerpo es pa darle alegría y cosas buena'
Dale a tu cuerpo alegría, Macarena
¡Eh, Macarena, ah-ay!
Ah-oh
Eh-oh-ah
All right
Eh-oh, ah, ¡ah-ay!
Come and find me, my name is Macarena
Always at the party con las chicas que están buenas
Come join me, dance with me
And all you fellows, chant along with me
(Eh-oh) Mac-Mac-Mac-Mac-Mac-Macarena
Mac-Mac-Mac-Mac-Mac-Macarena
Mac-Mac-Mac-Mac-Mac-Macarena
Macarena, Macarena, Macarena, ¡ah-ay!
Dale a tu cuerpo alegría, Macarena
Que tu cuerpo es pa darle alegría y cosas buena'
Dale a tu cuerpo alegría, Macarena
¡Eh, Macarena, ah-ay!
Dale a tu cuerpo alegría, Macarena
Que tu cuerpo es pa darle alegría y cosas buena'
Dale a tu cuerpo alegría, Macarena
¡Eh, Macarena, ah-ay!
Dale a tu cuerpo alegría, Macarena
Que tu cuerpo es pa darle alegría y cosas buena'
Dale a tu cuerpo alegría, Macarena
¡Eh, Macarena, ah-ay!
Dale a tu cuerpo alegría, Macarena
Que tu cuerpo es pa darle alegría y cosas buena'
Dale a tu cuerpo alegría, Macarena
¡Eh, Macarena, ah-ay!
Dale a tu cuerpo alegría, Macarena
Que tu cuerpo es pa darle alegría y cosas buena'
Dale a tu cuerpo alegría, Macarena
¡Eh, Macarena, ah-ay!"
Ghost,Justin Bieber,"Young blood thinks there's always tomorrow
I miss your touch on nights when I'm hollow
I know you crossed a bridge that I can't follow
Since the love that you left is all that I get
I want you to know that
If I can't be close to you, I'll settle for the ghost of you
I miss you more than life (more than life)
And if you can't be next to me, your memory is ecstasy
I miss you more than life
I miss you more than life
Young blood thinks there's always tomorrow
I need more time, but time can't be borrowed
I'd leave it all behind if I could follow
Since the love that you left is all that I get
I want you to know that
If I can't be close to you, I'll settle for the ghost of you
I miss you more than life (yeah)
And if you can't be next to me, your memory is ecstasy (whoa)
I miss you more than life
I miss you more than life
Whoa-oh-oh
Na-na-na
More than life, oh
So if I can't get close to you, I'll settle for the ghost of you
I miss you more than life
And if you can't be next to me, your memory is ecstasy
I miss you more than life
I miss you more than life"
My Ex's Best Friend,Machine Gun Kelly X blackbear,"Ayy
You know my ex, so that makes it all feel complicated, yeah
(It all seems complicated)
I read those texts that you sent to yours
But I'll never say it, yeah
(I'll never say-)
You walked in my life at 2:00 a.m.
'Cause my boy's new girl is your best friend
Act like you don't see me, we'll play pretend
Your eyes already told me what you never said
Now we're in the back seat of the black car going home
When she asked me, ""Is it wrong if I come up with you?""
We're both drunk on the elevator
When I kissed you for the first time in New York City, uh
I swear to God, I never fall in love
Then you showed up, and I can't get enough of it
I swear to God, I never fall in love
I never fall in love, but I can't get enough of it
First off, I'm not sorry
I won't apologize to nobody
You play like I'm invisible
Girl, don't act like you ain't saw me
Last year was a mess, and how I acted was beyond me
But the past still revolves me
You text me, I ain't responding
But now shit's done changed
Go our separate ways
But look at this damage you did to me
I still want nothing to do between you and me
Please, don't say nothing at all
Sounds so true to me
We don't have nothing to say, hey
I swear to God, I never fall in love
Then you showed up, and I can't get enough of it
I swear to God, I never fall in love
I never fall in love, but I can't get enough of it
I swear to God, I never fall in love
Then you showed up, and I can't get enough of it
I swear to God, I never fall in love
I never fall in love, but I can't get enough of it
You know my ex, so that makes it all feel complicated, yeah
(It all seems complicated)
I read those texts that you sent to yours
But I'll never say it, yeah
(I'll never say-)"
The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole","Chestnuts roasting on an open fire
Jack Frost nipping at your nose
Yuletide carols being sung by a choir
And folks dressed up like eskimos
Everybody knows a turkey and some mistletoe
Help to make the season bright
Tiny tots with their eyes all aglow
Will find it hard to sleep tonight
They know that Santa's on his way
He's loaded lots of toys and goodies on his sleigh
And ev'ry mother's child is gonna spy
To see if reindeer really know how to fly
And so I'm offering this simple phrase
To kids from one to ninety-two
Although it's been said, many times many ways
Merry Christmas, to you
And so I'm offering this simple phrase
To kids from one to ninety-two
Although it's been said, many times many ways
Merry Christmas, to you"
Haven't Met You Yet,Michael Buble,"I'm not surprised, not everything lasts
I've broken my heart so many times, I stopped keeping track
Talk myself in, I talk myself out
I get all worked up, then I let myself down
I tried so very hard not to lose it
I came up with a million excuses
I thought, I thought of every possibility
And I know someday that it'll all turn out
You'll make me work, so we can work to work it out
And I promise you, kid, that I give so much more than I get
I just haven't met you yet, mmm
I might have to wait, I'll never give up
I guess it's half timing, and the other half's luck
Wherever you are, whenever it's right
You'll come out of nowhere and into my life
And I know that we can be so amazing
And, baby, your love is gonna change me
And now I can see every possibility, mmm
And somehow I know that it'll all turn out
You'll make me work, so we can work to work it out
And I promise you, kid, I give so much more than I get, mmm
I just haven't met you yet
They say all's fair
In love and war
But I won't need to fight it
We'll get it right and we'll be united
And I know that we can be so amazing
And being in your life is gonna change me
And now I can see every single possibility, hmm
And someday I know it'll all turn out
And I'll work to work it out
Promise you, kid, I'll give more than I get
Than I get, than I get, than I get
Oh, you know it'll all turn out
And you'll make me work so we can work to work it out
And I promise you kid, to give so much more than I get
Yeah, I just haven't met you yet
I just haven't met you yet
Oh, promise you, kid
To give so much more than I get
I said love, love, love, love
Love, love, love, love (I just haven't met you yet)
Love, love, love, love (So do it, d'ayy, ayy)
Love, love (Yeah yeah)
I just haven't met you yet"
C'mon N' Ride It (The Train),Quad City DJ's,"Woo-woo, woo-woo, woo-woo, woo-woo
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Come on, ride the train, and ride it (woo-woo)
Come on, ride the train, and ride it (woo-woo)
Come on, ride the train (woo-woo), and ride it (woo-woo)
Come on, ride the train (woo-woo), and ride it (woo-woo)
Come on, ride the train (woo-woo), and ride it (woo-woo)
Come on, ride the train (woo-woo), and ride it (woo-woo)
Come on, ride the train (woo-woo), and ride it (woo-woo)
Come on, ride the train (woo-woo), and ride it (woo-woo)
Come on, ride the train, it's the choo-choo (woo-woo)
Come on, ride the train, it's the choo-choo train (woo-woo)
Come on, ride the train, it's the choo-choo (woo-woo)
Come on, ride the train, it's the choo-choo train
Ah-ah-ah-ah-ah (woo-woo)
I think I can, I think I can, I think I can, I think I can (woo-woo)
Ah-ah-ah-ah-ah (woo-woo)
I think I can, I think I can, I think I can, I think I can (woo-woo)
Way deep down South, well, we play this game
It's them Quad City DJ's and yo, we call it ""the train""
So if you wanna ride your thing, just come on down the train
We gonna rock, ooh, Lord, just jump aboard, baby
So get your next of kin (c'mon), your sister and your friend
Pack it up that, choo-choo, ride on this, choo-choo
And, boo, you need to stop faking, and come on with me
I wanna take you home with me, to be alone with me
And I can see you wanna hide it (come on), just divide it
And please don't knock it, until you ride it
So to all of you girls, you know, I'm calling your name
Michelle, Tamika and Tanya
Wanna ride this train, ride out now
Come on, ride the train (woo-woo), and ride it (woo-woo)
Come on, ride the train (woo-woo), and ride it (woo-woo)
Come on, ride the train (woo-woo), and ride it (woo-woo)
Come on, ride the train (woo-woo), and ride it (woo-woo)
Come on, ride the train (woo-woo), and ride it (woo-woo)
Come on, ride the train (woo-woo), and ride it (woo-woo)
Come on, ride the train (woo-woo), and ride it (woo-woo)
Come on, ride the train (woo-woo), and ride it (woo-woo)
Come on, it's the choo-choo (woo-woo)
Come on, it's the choo-choo train (woo-woo)
Come on, it's the choo-choo (woo-woo)
Come on, it's the choo-choo train
If you feel like dancing
Well, come on, it's up to you
We got the sound to keep you getting down, down
The train is coming through
Ah-ah-ah-ah-ah
I think I can, I think I can, I think I can, I think I can
Ah-ah-ah-ah-ah
I think I can, I think I can, I think I can, I think I can
I can smell them tranquil breezes from a mile away
Graduated from Boone up to Alize
Baby, you looking tough to death
Got your weave done right, it's on so tight
Now it's on tonight (yeah, yeah)
Right about now, it's about that time for me to holler
Girl, I wanna waller in the back of my Impala
Woo, don't need no tickets for this thing
Just jump on in, let me hit them switches on the train
And it ain't no thing, it's all the same, get on the train tracks
Here we go, so get on the floor and put a hump in your back
So pack your bags (come on), get ready (say what now?)
We're coming through your town
Move your arm up and down
And make that choo-choo sound, like this
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Come on (woo-woo), it's the choo-choo (woo-woo)
Come on (woo-woo), it's the choo-choo train (woo-woo)
Come on (woo-woo), it's the choo-choo (woo-woo)
Come on, it's the choo-choo train
If you feel like dancing
Well, come on, it's up to you
We got the sound to keep you getting down, down
The train is coming through
Ah-ah-ah-ah-ah
I think I can, I think I can, I think I can, I think I can
Ah-ah-ah-ah-ah
I think I can, I think I can, I think I can, I think I can
Ride that choo-choo
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Come on (woo-woo), it's the choo-choo (woo-woo)
Come on (woo-woo), it's the choo-choo train (woo-woo)
Come on (woo-woo), it's the choo-choo (woo-woo)
Come on, it's the choo-choo train
If you feel like dancing
Well, come on, it's up to you
We got the sound to keep you getting down, down
The train is coming through
Ah-ah-ah-ah-ah
I think I can, I think I can, I think I can, I think I can
Ah-ah-ah-ah-ah
I think I can, I think I can, I think I can, I think I can
Come on, ride the train (woo-woo), and ride it (woo-woo)
Come on, ride the train (woo-woo), and ride it (woo-woo)
Come on, ride the train (woo-woo), and ride it (woo-woo)
Come on, ride the train (woo-woo), and ride it (woo-woo)
Come on, ride the train (it's the choo-choo), and ride it
Come on, ride the train (it's the choo-choo train), and ride it
Come on, ride the train (it's the choo-choo), and ride it
Come on, ride the train (it's the choo-choo train), and ride it
Come on (woo-woo), it's the choo-choo (woo-woo)
Come on (woo-woo), it's the choo-choo train (woo-woo)
Come on (woo-woo), it's the choo-choo (woo-woo)
Come on (woo-woo), it's the choo-choo train (woo-woo)
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)
Ride that choo-choo (woo-woo)"
"1, 2 Step",Ciara Featuring Missy Elliott,"Ladies and gentlemen (ladies and gentlemen)
(Ooh-wee) this is a Jazze Phizzle Productshizzle
Missy (Missy)
The princess is here (she's here)
Ciara!
This beat is...
Automatic, supersonic, hypnotic, funky fresh
Work my body, so melodic, this beat flows right through my chest
Everybody, ma and papi, came to party, grab somebody
Work your body, work your body, let me see you 1, 2 step (here we go)
Rock it, don't stop it
Everybody get on the floor
Crank the party up
We about to get it on
Let me see ya, 1, 2 step
I love it when ya, 1, 2 step
Everybody, 1, 2 step
We about to get it on (this beat is)
Outrageous, so contagious, make you crave it
Jazze made it
So retarded, top charted, ever since the day I started
Strut my stuff and yes I flaunt it
Goodies make the boys jump on it
No, I can't control myself
Now let me do my 1, 2 step (come on)
Rock it, don't stop it
Everybody get on the floor
Crank the party up
We about to get it on
Let me see ya, 1, 2 step
I love it when ya, 1, 2 step
Everybody, 1, 2 step
We about to get it on
(We gon' flip it like this, ooh-wee)
It don't matter to me
We can dance slow (ladies and gentlemen)
Whichever way the beat drop
Our bodies will flow (I like this)
So swing it over here Mr. DJ (hey, hey)
And we will, we will rock you (oh)
It don't matter to me (yeah)
We can dance slow (dance slow)
Whichever way the beat drop
Our bodies will go
So swing it over here, Mr. DJ (ladies and gentlemen)
And we will, we will rock you (let's shake)
I shake it like Jello, make the boys say hello
'Cause they know I'm rockin' the beat (rockin' the beat)
I know you heard about a lot of great MC's
But they ain't got nothing on me
Because I'm 5 foot 2, I wanna dance with you
And I'm sophisticated fun
I eat filet mignon and I'm nice and young
Best believe I'm number one (woo)
Rock it, don't stop it
Everybody get on the floor
Crank the party up (woo)
We about to get it on (c'mon)
Let me see ya, 1, 2 step
I love it when ya, 1, 2 step
Everybody, 1, 2 step
We about to get it on
Rock it, don't stop it
Everybody get on the floor
Crank the party up
We about to get it on
Let me see ya, 1, 2 step
I love it when ya, 1, 2 step
Everybody, 1, 2 step
We about to get it on
This is for the hearing impaired
A Jazze Pha production
(Ooh-wee)
(Ooh-wee)"
Down,Jay Sean Featuring Lil Wayne,"Baby, are you down, down, down, down, down?
Down, down
Even if the sky is falling down
Down, down (ooh, ooh)
You oughta know
Tonight is the night to let it go
Put on a show
I wanna see how you lose control
So leave it behind 'cause we have a night to get away
So come on, and fly with me as we make our great escape
So baby, don't worry, you are my only
You won't be lonely even if the sky is falling down
You'll be my only, no need to worry
Baby, are you down, down, down, down, down?
Down, down
Baby, are you down, down, down, down, down?
Down, down
Even if the sky is falling down
Just let it be
Come on, and bring your body next to me
I'll take you away, ayy
Turn this place into our private get-away
So leave it behind 'cause we have a night to get away
So come on, and fly with me as we make our great escape
So why don't we run away?
Baby, don't worry, you are my only (oh)
You won't be lonely (no) even if the sky is falling down
You'll be my only (yeah), no need to worry (no)
Baby, are you down, down, down, down, down?
Down, down
Baby, are you down, down, down, down, down?
Down, down (ooh, down)
Even if the sky is falling down
Down like she 'posed to be, she gets down low for me
Down like her temperature, 'cause to me, she zero degrees
She cold, over freeze, I got that girl from overseas
Now, she's my Miss America, now, can I be her soldier, please?
I'm fighting for this girl on a battlefield of love
Don't it look like baby Cupid sent her arrows from above?
Don't you ever leave the side of me, indefinitely, not probably
And honestly, I'm down like the economy, hey
Baby, don't worry, you are my only
You won't be lonely even if the sky is falling down
You'll be my only, no need to worry
Baby, are you down, down, down, down, down? (And the sky is falling down)
Down (down), down
Baby, are you down, down, down, down, down? (Ooh)
Down, down (no, and the sky is falling down)
Even if the sky is falling down
Ooh, no, and the sky is falling down"
Bust A Move,Young M.C.,"This here's a jam for all the fellas
Tryin' to do what those ladies tell us
Get shot down 'cause you're overzealous
Play hard to get, females get jealous
Ok, smarty, go to a party
Girls are scantily clad and showin' body
A chick walks by you wish you could sex her
But you're standin' on the wall like you was Poindexter
Next day's function, high class luncheon
Food is served and you're stone cold munchin'
Music comes on, people start to dance
But then you ate so much you nearly split your pants
A girl starts walkin', guys start gawkin'
Sits down next to you and starts talkin'
Says she wanna dance 'cause she likes the groove
So come on, fatso, and just bust a move
Ah, ah, yeah
Ah, ah, ah, yeah
Ah, ah, yeah (just bust a move!)
Ah, ah, yeah, ah, ah
You're on a mission and you're wishin'
Someone could cure your lonely condition
Lookin' for love in all the wrong places
No fine girls, just ugly faces
From frustration, first inclination
Is to become a monk and leave the situation
But every dark tunnel has a lighter hope
So don't hang yourself with a celibate rope
New movie's showin', so you're goin'
Could care less about the five you're blowin'
Theatre gets dark just to start the show
Then you spot a fine woman sittin' in your row
She's dressed in yellow, she says ""hello
Come sit next to me, you fine fellow!""
You run over there without a second to lose
And what comes next? hey, bust a move!
If you want it, you got it
If you want it, baby, you got it, (just bust a move!)
If you want it, you got it
If you want it, baby, you got it
In the city, ladies look pretty
Guys tell jokes so they can seem witty
Tell a funny joke just to get some play
Then you try to make a move and she says, ""no way""
Girls are fakin', goodness sakin'
They want a man who brings home the bacon
Got no money and you got no car
Then you got no woman and there you are
Some girls are sophistic, materialistic
Looking for a man makes them opportunistic
They're lyin' on the beach perpetratin' a tan
So that a brother with money can be their man
So on the beach you're strollin', real high-rollin'
Everything you have is yours and not stolen
A girl runs up with somethin' to prove
So don't just stand there, bust a move!
If you want it, you got it
If you want it, baby, you got it (just bust a move)
If you want it, you got it
If you want it, baby, you got it (break it down for me fellas)
Ah, ah
Ah, ah
Ah, ah
Ah, ah
Ah, ah, hey, yeah
Ooh, uh, hey, yeah!
Ooh, uh, hey, yeah!
Ooh, uh, uh, uh
Your best friend Harry has a brother Larry
In five days from now he's gonna marry
He's hopin' you can make it there if you can
'Cause in the ceremony you'll be the best man
You say neato, check your libido
And roll to the church in your new tuxedo
The bride walks down just to start the wedding
And there's one more girl you won't be getting
So you start thinkin', then you start blinkin'
A bride maid looks and thinks that you're winkin'
She thinks you're kinda cute so she winks back
And now you're feelin really fine 'cause the girl is stacked
Reception's jumpin', bass is pumpin'
Look at the girl and your heart starts thumpin'
Says she wants to dance to a different groove
Now you know what to do, G, bust a move!
If you want it, you got it, ah
If you want it, baby, you got it (just bust a move), ah
If you want it, you got it, ah
If you want it, baby, you got it (move it, boy)
Aah, aah, aah, aah
Ah, ah, yeah, ah
Aah, hey, aah, yeah!
Aah, aah, heyy, yeah, yeah!"
TiK ToK,Ke$ha,"Wake up in the morning feelin' like P. Diddy (hey, what up, girl?)
Grab my glasses, I'm out the door, I'm gonna hit this city (let's go)
Before I leave, brush my teeth with a bottle of Jack
'Cause when I leave for the night, I ain't coming back
I'm talking pedicure on our toes, toes
Trying on all our clothes, clothes
Boys blowing up our phones, phones
Drop-topping, playing our favorite CDs
Pulling up to the parties
Trying to get a little bit tipsy
Don't stop, make it pop, DJ, blow my speakers up
Tonight, I'ma fight 'til we see the sunlight
Tick tock on the clock, but the party don't stop, no
Oh, woah, woah, oh, oh, woah, woah, oh
Don't stop, make it pop, DJ, blow my speakers up
Tonight, I'ma fight 'til we see the sunlight
Tick tock on the clock, but the party don't stop, no
Oh, woah, woah, oh, oh, woah, woah, oh
Ain't got a care in the world, but got plenty of beer
Ain't got no money in my pocket, but I'm already here
And now, the dudes are lining up 'cause they hear we got swagger
But we kick 'em to the curb unless they look like Mick Jagger
I'm talking about everybody getting crunk, crunk
Boys tryin' to touch my junk, junk
Gonna smack him if he getting too drunk, drunk
Now, now, we go until they kick us out, out
Or the police shut us down, down
Police shut us down, down
Po-po shut us
Don't stop, make it pop, DJ, blow my speakers up
Tonight, I'ma fight 'til we see the sunlight
Tick tock on the clock, but the party don't stop, no
Oh, woah, woah, oh, oh, woah, woah, oh
Don't stop, make it pop, DJ, blow my speakers up
Tonight, I'ma fight 'til we see the sunlight
Tick tock on the clock, but the party don't stop, no
Oh, woah, woah, oh, oh, woah, woah, oh
(DJ) you build me up
You break me down
My heart, it pounds
Yeah, you got me
With my hands up
You got me now
You got that sound
Yeah, you got me
(DJ) you build me up
You break me down
My heart, it pounds
Yeah, you got me
With my hands up
Put your hands up
Put your hands up
Now, the party don't start 'til I walk in
Don't stop, make it pop, DJ, blow my speakers up
Tonight, I'ma fight 'til we see the sunlight
Tick tock on the clock, but the party don't stop, no
Oh, woah, woah, oh, oh, woah, woah, oh
Don't stop, make it pop, DJ, blow my speakers up
Tonight, I'ma fight 'til we see the sunlight
Tick tock on the clock, but the party don't stop, no
Oh, woah, woah, oh, oh, woah, woah, oh"
