,title,artist,rank,shit,bitch,damn,dick,fuck,ass,hell,tot_words,total_swear,percent_swear
1980,Damned If I Do,The Alan Parsons Project,47,0,0,10,0,0,0,0,83,10,0.12048192771084337
1981,Nothing Ever Goes As Planned,Styx,85,0,0,1,0,0,0,2,171,3,0.017543859649122806
1982,Valley Girl,Frank Zappa,62,0,4,0,0,0,0,0,471,4,0.008492569002123142
1983,Memphis,Joe Jackson,94,0,0,0,0,0,0,10,150,10,0.06666666666666667
1984,White Horse,Laid Back,80,0,5,0,0,0,0,0,80,5,0.0625
1985,The Bird,The Time,75,1,0,0,0,1,0,1,254,3,0.011811023622047244
1986,Lead A Double Life,Loverboy,96,0,0,0,0,0,0,3,206,3,0.014563106796116505
1987,Niagara Falls,Chicago,91,0,0,0,0,0,0,6,94,6,0.06382978723404255
1988,Girls Ain't Nothing But Trouble,D.J. Jazzy Jeff & The Fresh Prince,79,0,0,0,0,0,0,7,468,7,0.014957264957264958
1989,Me So Horny,The 2 Live Crew,91,0,0,0,2,5,2,0,181,9,0.049723756906077346
1990,Jerk Out,The Time,65,0,0,1,0,0,0,2,480,3,0.00625
1991,Tonite,DJ Quik,89,4,1,0,0,10,2,0,429,17,0.039627039627039624
1992,How I Could Just Kill A Man/The Phuncky Feel One,Cypress Hill,94,41,0,1,0,4,0,0,484,46,0.09504132231404959
1993,Gangsta Bitch,Apache,80,1,59,0,1,5,2,0,401,68,0.16957605985037408
1994,Short Dick Man,20 Fingers Featuring Gillette,83,0,0,0,31,5,0,0,302,36,0.11920529801324503
1995,Cocktales,Too $hort,84,5,18,1,5,12,3,4,427,48,0.11241217798594848
1996,Get Money,Junior M.A.F.I.A. Featuring The Notorious B.I.G.,49,4,26,1,2,43,1,0,444,77,0.17342342342342343
1997,Sho Nuff,Tela Featuring Eightball & MJG,65,2,4,1,3,4,9,2,310,25,0.08064516129032258
1998,Invasion Of The Flat Booty B*****s,Too $hort,87,1,32,2,1,7,8,2,388,53,0.13659793814432988
1999,Nann,Trick Daddy Featuring Trina,99,6,17,0,5,7,1,3,338,39,0.11538461538461539
2000,"Ryde Or Die, Chick",The Lox Featuring Timbaland And EVE,73,3,27,0,0,9,12,0,469,51,0.10874200426439233
2001,Diddy,P. Diddy Featuring The Neptunes,74,13,12,0,0,19,2,0,536,46,0.08582089552238806
2002,Are We Cuttin',Pastor Troy Featuring Ms. Jade,97,1,1,4,0,2,0,20,356,28,0.07865168539325842
2003,Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,98,1,9,25,0,22,16,0,628,73,0.11624203821656051
2004,What U Gon' Do,Lil Jon & The East Side Boyz Featuring Lil Scrappy,67,60,13,0,1,21,3,2,409,100,0.24449877750611246
2005,Hollaback Girl,Gwen Stefani,82,38,0,0,0,0,0,0,243,38,0.15637860082304528
2006,Throw Some D's,Rich Boy Featuring Polow Da Don,100,10,19,1,1,13,0,0,429,44,0.10256410256410256
2007,Get Buck,Young Buck,87,2,19,18,0,3,1,0,392,43,0.1096938775510204
2008,Gives You Hell,The All-American Rejects,53,0,0,3,0,0,0,31,228,34,0.14912280701754385
2009,5 Star,Yo Gotti,84,1,34,0,0,2,1,0,461,38,0.0824295010845987
2010,Outta Your Mind,Lil Jon Featuring LMFAO,84,9,2,0,0,81,0,1,369,93,0.25203252032520324
2011,Dance (A$$),Big Sean Featuring Nicki Minaj,93,1,5,0,1,8,110,0,350,125,0.35714285714285715
2012,I Don't Like,Chief Keef Featuring Lil Reese,100,41,23,0,0,6,2,0,437,72,0.16475972540045766
2013,Love Me,Lil Wayne Featuring Drake & Future,16,0,35,0,3,12,3,0,441,53,0.12018140589569161
2014,I Don't F**k With You,Big Sean Featuring E-40,78,3,20,1,0,45,13,1,436,83,0.19036697247706422
2015,Where Ya At,Future Featuring Drake,68,4,8,0,1,4,37,0,317,54,0.17034700315457413
2016,Bad And Boujee,Migos Featuring Lil Uzi Vert,54,0,21,4,1,6,0,0,748,32,0.0427807486631016
2017,Red Opps,21 Savage,92,58,8,0,0,1,1,0,341,68,0.19941348973607037
2018,New Patek,Lil Uzi Vert,38,17,30,0,7,6,3,0,933,63,0.06752411575562701
2019,Stop Snitching,YG,98,3,76,0,1,0,2,0,406,82,0.2019704433497537
2020,Do It On The Tip,Megan Thee Stallion Featuring City Girls & Hot Girl Meg,92,5,16,0,38,4,3,0,337,66,0.19584569732937684
2021,Thot Shit,Megan Thee Stallion,17,35,12,2,0,5,4,0,478,58,0.12133891213389121
2022,We Cry Together,Kendrick Lamar & Taylour Paige,97,12,44,1,2,78,10,0,607,147,0.24217462932454695
2023,Soak City,310babii,98,9,25,0,2,38,2,0,532,76,0.14285714285714285
