,title,artist,rank,tot_words,shit,bitch,damn,dick,fuck,ass,hell,total_swear,percent_swear
1980,Damned If I Do,The Alan Parsons Project,47,83,0,0,10,0,0,0,0,10,0.12048192771084337
1981,Hello Again,Neil Diamond,25,58,0,0,0,0,0,0,12,12,0.20689655172413793
1982,Valley Girl,Frank Zappa,62,471,0,4,0,0,0,0,0,4,0.008492569002123142
1983,Memphis,Joe Jackson,94,150,0,0,0,0,0,0,10,10,0.06666666666666667
1984,Hello Again,The Cars,60,108,0,0,0,0,0,0,31,31,0.28703703703703703
1985,Hello Again,The Cars,28,108,0,0,0,0,0,0,31,31,0.28703703703703703
1986,Vienna Calling,Falco,70,418,0,0,0,0,0,0,19,19,0.045454545454545456
1987,Niagara Falls,Chicago,91,94,0,0,0,0,0,0,6,6,0.06382978723404255
1988,Girls Ain't Nothing But Trouble,D.J. Jazzy Jeff & The Fresh Prince,79,468,0,0,0,0,0,0,10,10,0.021367521367521368
1989,Girls Ain't Nothing But Trouble,D.J. Jazzy Jeff & The Fresh Prince,92,468,0,0,0,0,0,0,10,10,0.021367521367521368
1990,Me So Horny,The 2 Live Crew,50,181,0,0,0,2,5,2,0,9,0.049723756906077346
1991,Smells Like Teen Spirit,Nirvana,23,142,0,0,0,0,0,0,36,36,0.2535211267605634
1992,How I Could Just Kill A Man/The Phuncky Feel One,Cypress Hill,94,484,41,0,1,0,4,0,0,46,0.09504132231404959
1993,Gangsta Bitch,Apache,80,401,1,59,0,1,5,2,0,68,0.16957605985037408
1994,Really Doe,Ice Cube,88,417,3,3,3,0,35,4,0,48,0.11510791366906475
1995,Cocktales,Too $hort,84,427,5,18,1,5,12,3,4,48,0.11241217798594848
1996,Get Money,Junior M.A.F.I.A. Featuring The Notorious B.I.G.,49,444,4,26,1,2,43,1,0,77,0.17342342342342343
1997,Sho Nuff,Tela Featuring Eightball & MJG,65,310,2,4,1,3,4,9,2,25,0.08064516129032258
1998,Invasion Of The Flat Booty B*****s,Too $hort,87,388,1,32,2,1,7,8,2,53,0.13659793814432988
1999,Nann,Trick Daddy Featuring Trina,99,338,6,17,0,5,7,1,3,39,0.11538461538461539
2000,"Ryde Or Die, Chick",The Lox Featuring Timbaland And EVE,73,469,3,27,0,0,9,12,0,51,0.10874200426439233
2001,Diddy,P. Diddy Featuring The Neptunes,74,536,13,12,0,0,19,2,0,46,0.08582089552238806
2002,Are We Cuttin',Pastor Troy Featuring Ms. Jade,97,356,1,1,4,0,2,0,20,28,0.07865168539325842
2003,Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,98,628,1,9,25,0,22,16,0,73,0.11624203821656051
2004,What U Gon' Do,Lil Jon & The East Side Boyz Featuring Lil Scrappy,67,409,60,13,0,1,21,3,2,100,0.24449877750611246
2005,What U Gon' Do,Lil Jon & The East Side Boyz Featuring Lil Scrappy,22,409,60,13,0,1,21,3,2,100,0.24449877750611246
2006,Throw Some D's,Rich Boy Featuring Polow Da Don,100,429,10,19,1,1,13,0,0,44,0.10256410256410256
2007,Throw Some D's,Rich Boy Featuring Polow Da Don,76,429,10,19,1,1,13,0,0,44,0.10256410256410256
2008,Gives You Hell,The All-American Rejects,53,228,0,0,3,0,0,0,31,34,0.14912280701754385
2009,5 Star,Yo Gotti,84,461,1,34,0,0,2,1,0,38,0.0824295010845987
2010,Outta Your Mind,Lil Jon Featuring LMFAO,84,369,9,2,0,0,81,0,1,93,0.25203252032520324
2011,Dance (A$$),Big Sean Featuring Nicki Minaj,93,350,1,5,0,1,8,110,0,125,0.35714285714285715
2012,Dance (A$$),Big Sean Featuring Nicki Minaj,12,350,1,5,0,1,8,110,0,125,0.35714285714285715
2013,Love Me,Lil Wayne Featuring Drake & Future,16,441,0,35,0,3,12,3,0,53,0.12018140589569161
2014,I Don't F**k With You,Big Sean Featuring E-40,78,436,3,20,1,0,45,13,1,83,0.19036697247706422
2015,I Don't F**k With You,Big Sean Featuring E-40,12,436,3,20,1,0,45,13,1,83,0.19036697247706422
2016,Where Ya At,Future Featuring Drake,45,317,4,8,0,1,4,37,0,54,0.17034700315457413
2017,Red Opps,21 Savage,92,341,58,8,0,0,1,1,0,68,0.19941348973607037
2018,New Patek,Lil Uzi Vert,38,933,17,30,0,7,6,3,5,68,0.07288317256162916
2019,Stop Snitching,YG,98,406,3,76,0,1,0,2,0,82,0.2019704433497537
2020,Do It On The Tip,Megan Thee Stallion Featuring City Girls & Hot Girl Meg,92,337,5,16,0,38,4,3,0,66,0.19584569732937684
2021,Thot Shit,Megan Thee Stallion,17,478,35,12,2,0,5,4,0,58,0.12133891213389121
2022,We Cry Together,Kendrick Lamar & Taylour Paige,97,607,12,44,1,2,78,10,0,147,0.24217462932454695
2023,Soak City,310babii,98,532,9,25,0,2,38,2,0,76,0.14285714285714285
