,title,artist,rank,date,total_swear,percent_swear
0,What About Us,The Coasters,50,1960-01-04,0.0,0.0
1,Swingin' On A Rainbow,Frankie Avalon,39,1960-01-04,0.0,0.0
2,Misty,Johnny Mathis,40,1960-01-04,0.0,0.0
3,He'll Have To Go,Jim Reeves,2,1960-03-14,0.0,0.0
4,Believe Me,Royal Teens,42,1960-01-04,0.0,0.0
5,Dance With Me,The Drifters,43,1960-01-04,0.0,0.0
6,Just As Much As Ever,Bob Beckham,44,1960-01-04,0.0,0.0
7,Oh! Carol,Neil Sedaka,26,1960-01-04,0.0,0.0
8,Talk That Talk,Jackie Wilson,35,1960-01-04,0.0,0.0
9,Mighty Good,Ricky Nelson,49,1960-01-04,0.0,0.0
10,This Time Of The Year,Brook Benton,66,1960-01-18,0.0,0.0
11,(Seven Little Girls) Sitting In The Back Seat,Paul Evans and the Curls,73,1960-01-04,0.0,0.0
12,Love Potion No. 9,The Clovers,76,1960-01-04,0.0,0.0
13,One Mint Julep,Chet Atkins,82,1960-02-01,0.0,0.0
14,Deck Of Cards,Wink Martindale,96,1960-01-04,0.0,0.0
15,Do-Re-Mi,Mitch Miller,94,1960-01-04,0.0,0.0
16,How About That,Dee Clark,38,1960-01-04,0.0,0.0
17,Scarlet Ribbons (For Her Hair),The Browns,17,1960-01-04,0.0,0.0
18,Way Down Yonder In New Orleans,Freddie Cannon,5,1960-01-04,0.0,0.0
19,Heartaches By The Number,Guy Mitchell,6,1960-01-04,0.0,0.0
20,It's Time To Cry,Paul Anka,7,1960-01-04,0.0,0.0
21,Among My Souvenirs,Connie Francis,8,1960-01-04,0.0,0.0
22,Pretty Blue Eyes,Steve Lawrence,9,1960-01-04,0.0,0.0
23,"Go, Jimmy, Go",Jimmy Clanton,5,1960-02-01,0.0,0.0
24,We Got Love,Bobby Rydell,11,1960-01-04,0.0,0.0
25,The Village Of St. Bernadette,Andy Williams,8,1960-01-18,0.0,0.0
26,El Paso,Marty Robbins,1,1960-01-04,0.0,0.0
